query_id,mask_ratio,clean_rank,attention_margin_drop,random_margin_drop,attention_descriptor_drift,random_descriptor_drift,attention_positive_similarity_drop,random_positive_similarity_drop,attention_rank_degradation,random_rank_degradation,attention_failure_flip,random_failure_flip,attention_hit_at_1,random_hit_at_1,attention_hit_at_5,random_hit_at_5,attention_hit_at_10,random_hit_at_10,paired_margin_difference,mask_mode,baseline,attention_condition
613,0.1,1,0.017447471618652344,0.022931742668151855,0.25554585456848145,0.13936445713043213,0.06438496708869934,0.04204391241073609,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.005484271049499511,connected_topk,random_pixel,attention_connected
509,0.1,3,-0.011298447847366333,-0.0021742105484008787,0.30565333366394043,0.12355836629867553,0.06813076138496399,0.014747369289398193,-2,-1.2,0,0.0,1,0.2,1,1.0,1,1.0,-0.009124237298965453,connected_topk,random_pixel,attention_connected
37,0.1,1,0.10302126407623291,0.013775810599327087,0.27099883556365967,0.09843323230743409,0.10096952319145203,0.012101203203201294,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.08924545347690582,connected_topk,random_pixel,attention_connected
514,0.1,1,-0.008814305067062378,0.009525197744369506,0.2021283507347107,0.08851152658462524,-0.0027691125869750977,0.006977343559265136,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.018339502811431884,connected_topk,random_pixel,attention_connected
268,0.1,1,0.018393278121948242,-0.0029825806617736817,0.27202796936035156,0.1370776653289795,0.06004256010055542,0.010608518123626709,1,0.2,1,0.2,0,0.8,1,1.0,1,1.0,0.021375858783721925,connected_topk,random_pixel,attention_connected
198,0.1,1,0.10342520475387573,0.0461037278175354,0.37247949838638306,0.15670785903930665,0.1796613335609436,0.0739859938621521,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.057321476936340335,connected_topk,random_pixel,attention_connected
207,0.1,1,0.011324465274810791,0.008339554071426392,0.29918038845062256,0.10772197246551514,0.0989459753036499,0.03568092584609985,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.0029849112033843994,connected_topk,random_pixel,attention_connected
454,0.1,1,0.0484776496887207,0.005421602725982666,0.23315680027008057,0.10160996913909912,0.07029902935028076,0.021771520376205444,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.043056046962738036,connected_topk,random_pixel,attention_connected
502,0.1,1,0.08713787794113159,0.03755003809928894,0.31092941761016846,0.16606630086898805,0.10762929916381836,0.05545528531074524,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.04958783984184265,connected_topk,random_pixel,attention_connected
497,0.1,1,0.08040452003479004,0.030587583780288696,0.3020411729812622,0.16415584087371826,0.10862952470779419,0.049668741226196286,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.04981693625450134,connected_topk,random_pixel,attention_connected
